local_price_yoy,gas_yoy,oil_yoy,inflation_yoy
0.033577636,0.041165638,0.065958633,0.014017883
0.026268646,-0.00349147,-0.033660564,0.01430138
-0.012710326,0.018031771,-0.052610042,0.013318009
0.005913784,0.016174522,-0.031951507,0.014715078
0.003214774,0.003165992,-0.00438797,0.016435809
-0.002276525,0.003675149,-0.06564401,0.017801936
-0.024608606,-0.0299669,-0.02512126,0.018444572
-0.042770826,-0.059083774,-0.050025491,0.017564028
-0.019925188,-0.016912641,0.026479483,0.01816075
-0.009006566,0.025741656,0.055582753,0.020335154
-0.003217312,0.028114068,0.076534684,0.020112179
0.004583517,-0.009289717,0.047621756,0.018762939
-0.024360678,-0.039833867,0.045319159,0.017911589
-0.032992928,-0.027579639,0.048278174,0.017677895
-0.014515584,-0.010774099,0.018222813,0.01965926
0.011074777,0.003954411,0.030146072,0.01864809
0.008797231,-0.027237997,0,0.017615458
-0.023100742,-0.041440885,0.047081237,0.014957315
-0.01586053,-0.027038291,0.019007923,0.013873228
0.007328105,0.025510229,0.028243587,0.013962712
0.001279209,0.018028687,0.047966543,0.013776201
0.014779505,0.034293386,0.037919723,0.013394236
-0.001763133,-0.013908972,-0.029334574,0.014578928
-0.018307636,-0.03540672,-0.049923795,0.015777871
-0.03801703,-0.023379255,-0.050198658,0.014738515
-0.040790306,-0.06786207,-0.077975297,0.015516183
-0.054651448,-0.105961753,-0.146643574,0.014420529
-0.138804674,-0.22583617,-0.266600664,0.012615095
-0.21316557,-0.295095404,-0.305552771,0.009970484
-0.1695391,-0.235384913,-0.314224658,0.010466331
-0.143516292,-0.205669456,-0.329201256,0.010406322
-0.143791812,-0.200386687,-0.223404555,0.011046064
-0.115822629,-0.163779109,-0.231295417,0.010948559
-0.119520626,-0.167783206,-0.248419042,0.010236495
-0.124492602,-0.1826245,-0.318773509,0.009961487
-0.150002756,-0.231607143,-0.290125137,0.008439553
-0.161878721,-0.272953074,-0.305724081,0.008073503
-0.142415834,-0.225786931,-0.237718915,0.009576531
-0.132325519,-0.188592269,-0.200914843,0.010778532
-0.091825095,-0.110630775,-0.157811719,0.013116422
-0.032305278,-0.08837176,-0.15680959,0.018607984
-0.087639324,-0.207412784,-0.168606595,0.018162808
-0.079657629,-0.110311704,-0.093954844,0.018125202
-0.064421853,-0.10580767,-0.11346293,0.017397778
-0.069988489,-0.108325559,-0.08923582,0.01851993
-0.0502959,-0.123290452,-0.090081143,0.018836562
-0.083358429,-0.141278462,-0.054111951,0.019608867
-0.052318822,-0.053971458,-0.04165758,0.020114566
-0.004282617,0.00313187,0.029327064,0.01936023
0.010286229,0.0463084,0.002509574,0.020195201
0.014478556,0.014857881,0.074463456,0.019828484
0.048983118,0.099375189,0.161465026,0.018002791
0.088285437,0.158085647,0.196118458,0.016313122
0.095907433,0.187956281,0.2042004,0.016856833
0.04821204,0.060158931,0.120498408,0.017026566
0.037342312,0.053371161,0.031109236,0.017403742
0.008159125,0.000134855,-0.006954567,0.01675324
-0.021835474,-0.021593172,-0.02108148,0.018554545
0.011565342,0.056173999,0.08135077,0.022096396
0.026650742,0.069741543,0.023910422,0.020016491
0.041810372,0.077372736,0.029831162,0.018533885
0.020610473,0.04358643,0.064636919,0.017881377
0.050744812,0.108784052,0.06483343,0.019912206
0.030128286,0.037650825,0.051044717,0.023980025
0.022590142,0.072160086,0.08838944,0.020005145
0.035764925,0.062749458,0.057388453,0.017663577
0.04503112,0.078492131,0.108361767,0.01762173
0.053613407,0.085928039,0.143023034,0.016700594
0.085620936,0.139671357,0.14220708,0.017394566
0.085647955,0.149186707,0.20697584,0.016156628
0.086574451,0.126205759,0.136891767,0.011169672
0.075707351,0.09154397,0.169637477,0.014373437
0.051684472,0.082968558,0.151569167,0.019332556
0.070940067,0.073573602,0.079540481,0.01844079
0.010422493,-0.05574684,-0.051938216,0.013462081
-0.022547145,-0.093163145,-0.124029219,0.009930458
-0.049976996,-0.128386374,-0.080404063,0.017471042
-0.031699415,-0.06798919,-0.032314777,0.018943599
0.002296403,-0.021447898,-0.033348861,0.017746979
0.011708622,-0.002697952,-0.030565332,0.020166445
-0.007452166,-0.042517212,-0.097980224,0.019269986
-0.025102676,-0.069455221,-0.103178062,0.020361283
-0.013494677,-0.043814007,-0.069586501,0.018574221
-0.032374285,-0.088473083,-0.102703824,0.012891755
-0.038328062,-0.095445565,-0.131851259,0.007766414
-0.048168019,-0.081475162,-0.081140683,0.009321861
-0.005114057,0.023586661,0.034729308,0.012503044
0.029119987,0.08006192,0.128605298,0.014543755
0.047379871,0.067390585,-0.018388636,0.007681346
0.01042239,0.006059823,-0.106657776,0.005334542
-0.04459507,-0.315214243,-0.467833471,0.007612881
-0.17739867,-0.484427717,-0.530487919,0.008085708
-0.182012641,-0.316271531,-0.178247783,0.007760669
-0.105664971,-0.175311469,-0.172872193,0.01025343
-0.085893165,-0.180342436,-0.162767738,0.012324029
-0.072925251,-0.120201698,-0.111640065,0.017815506
-0.074976232,-0.137960181,-0.128514303,0.021046814
-0.070419879,-0.145275105,-0.180077302,0.022612052
-0.089255738,-0.149455086,-0.085221468,0.023099833
-0.055433989,-0.099030038,-0.099836008,0.020459466
-0.036645908,-0.02341688,0.005357594,0.022173535
0.015758901,0.053594179,0.137985038,0.025295978
0.071876204,0.349551076,0.460698213,0.024656532
0.17682048,0.477835822,0.528239625,0.022032649
0.195417197,0.34763505,0.271538518,0.02190533
0.142590951,0.268271853,0.272049139,0.016645729
0.122488387,0.257299877,0.263956549,0.016261027
0.134798771,0.244374746,0.206179037,0.015423471
0.142683033,0.264816218,0.27079288,0.015657463
0.155514434,0.320273168,0.368288704,0.012652076
0.18222597,0.291222352,0.164245247,0.012356172
0.125035959,0.206183066,0.190354796,0.013123069
0.127790299,0.195737159,0.227551814,0.012281454
0.131173688,0.18889462,0.192127574,0.01275195
0.160979038,0.215247859,0.22918616,0.017747316
0.143856788,0.210125461,0.216584676,0.019614716
0.166832576,0.250472109,0.237805295,0.024556918
0.162203561,0.257163051,0.158211402,0.031625813
0.095156593,0.168452312,0.12502682,0.034855005
0.084865182,0.115887377,0.116375019,0.036926751
0.070630515,0.053265579,0.025077551,0.037561785
0.088063088,0.048715305,0.015116302,0.040223795
0.079063942,0.044048253,0.085338782,0.03809135
0.099475677,0.006980495,0.000346327,0.03596415
